"label","id","type","author","year","title","journal","abstract","keywords","doi","source","n_duplicates","matches","screened_topics","display","topic","notes","citation","screened_titles"
"ref_267","pop00269","ARTICLE","S Bhagat; B Bolton","2019","Corporate governance and firm performance: The sequel","Journal of Corporate Finance","… Corporate governance continues to be a focus of not just the … the effectiveness of corporate governance mechanisms in … to addressing the corporate governance concerns is to focus …","",NA,"Google Scholar",1,267,"selected",TRUE,1,NA,"Corporate Governance and Firm Performance: The Sequel.","excluded"
"ref_268","pop00270","ARTICLE","BD Baysinger; HN Butler","2019","Corporate governance and the board of directors: Performance effects of changes in board composition","Corporate Governance","… in most discussions of corporate governance. Corporate governance structures—the set of … the corporate governance reform movement has made the hoard the target of public policy. …","","10.4324/9781315191157-13","Google Scholar",1,268,"selected",TRUE,4,NA,"Corporate Governance and the Board of Directors: Performance Effects of Changes in Board Composition.","excluded"
"ref_269","pop00271","ARTICLE","S Turnbull","2019","Corporate governance: Its scope, concerns and theories","Corporate governance","This paper outlines the conceptual, cultural, contextual and disciplinary scope of the rapidly evolving topic of corporate governance. As a basis for improving the rigour of research and …","","10.4324/9781315191157-29","Google Scholar",1,269,"selected",TRUE,4,NA,"Corporate Governance: Its Scope, Concerns and Theories.","excluded"
"ref_270","pop00272","ARTICLE","RV Aguilera; V Marano; I Haxhi","2019","International corporate governance: A review and opportunities for future research","Journal of International Business Studies","… corporate governance of multinational corporations (MNCs), which we label International Corporate Governance (… how corporate governance can be an effective tool for MNC success. …","","10.1057/s41267-019-00232-w","Google Scholar",1,270,"selected",TRUE,2,NA,"International Corporate Governance: a Review and Opportunities for Future Research.","excluded"
"ref_271","pop00273","ARTICLE","DS Lund","2019","Nonvoting shares and efficient corporate governance","Stan. L. Rev.","A growing number of technology companies, including Google, Zillow, and Snap, have issued stock that does not allow investors to vote on corporate decisions. But there is …","",NA,"Google Scholar",1,271,"selected",TRUE,4,NA,"Nonvoting Shares and Efficient Corporate Governance.","excluded"
"ref_272","pop00274","ARTICLE","S Hirst; K Kastiel","2019","Corporate governance by index exclusion","BUL Rev.","… Index exclusions are a corporate governance experiment, one that has important lessons. We examine these lessons, and the way forwardfor corporate governance. These lessons are …","",NA,"Google Scholar",1,272,"selected",TRUE,2,NA,"Corporate Governance by Index Exclusion.","excluded"
"ref_273","pop00275","ARTICLE","H DHU; C HBP","2019","Corporate governance and earnings management","Iconic Research and Engineering Journals","… on corporate governance has identified the impact of different corporate governance … recent past have increased the interest in corporate governance. Therefore, it is worthwhile …","",NA,"Google Scholar",1,273,"selected",TRUE,3,NA,"Corporate Governance and Earnings Management.","excluded"
"ref_274","pop00276","ARTICLE","S Danoshana; T Ravivathani","2019","The impact of the corporate governance on firm performance: A study on financial institutions in Sri Lanka","SAARJ Journal on Banking \& …","… Now corporate governance … of corporate governance on the performance of listed financial institutions in Sri Lanka as main objective and recommend a suitable corporate governance …","",NA,"Google Scholar",1,274,"selected",TRUE,1,NA,"The Impact of the Corporate Governance on Firm Performance: a Study on Financial Institutions in Sri Lanka.","excluded"
"ref_275","pop00277","ARTICLE","V Naciti","2019","Corporate governance and board of directors: The effect of a board composition on firm sustainability performance","Journal of Cleaner Production","… Specifically, the analysis focuses on key corporate governance characteristics – namely … This study contributes to the literature on corporate governance and the firm's performance …","",NA,"Google Scholar",1,275,"selected",TRUE,4,NA,"Corporate Governance and Board of Directors: The Effect of a Board Composition on Firm Sustainability Performance.","excluded"
"ref_276","pop00278","ARTICLE","NM Brennan; N Subramaniam; ...","2019","Corporate governance implications of disruptive technology: An overview","The British Accounting …","This position paper introduces the special issue on “Innovative Governance and Sustainable Pathways in a Disruptive Environment� . The paper develops a framework to review the …","",NA,"Google Scholar",1,276,"selected",TRUE,2,NA,"Corporate Governance Implications of Disruptive Technology: An Overview.","excluded"
"ref_277","pop00279","ARTICLE","TTY Alabdullah; ER Ahmed; ...","2019","Effect of board size and duality on corporate social responsibility: what has improved in corporate governance in Asia?","Journal of Accounting …","The aim of this study is to examine the relationship between board size and CEO duality, and corporate social responsibility (CSR). A total of 91 public listed companies from Bursa …","",NA,"Google Scholar",1,277,"selected",TRUE,2,NA,"Effect of Board Size and Duality on Corporate Social Responsibility: What Has Improved in Corporate Governance in Asia?","selected"
"ref_278","pop00280","ARTICLE","I Ciftci; E Tatoglu; G Wood; M Demirbag; ...","2019","Corporate governance and firm performance in emerging markets: Evidence from Turkey","International Business …","This is a study of the relationship between context, internal corporate governance and firm performance, looking at the case of Turkey, an exemplar of family capitalism. We found more …","",NA,"Google Scholar",1,278,"selected",TRUE,1,NA,"Corporate Governance and Firm Performance in Emerging Markets: Evidence from Turkey.","excluded"
"ref_279","pop00281","ARTICLE","S Iqbal; A Nawaz; S Ehsan","2019","Financial performance and corporate governance in microfinance: Evidence from Asia","Journal of Asian Economics","… This paper analyzes the corporate governance and financial … We construct a corporate governance index based on seven … simultaneity between corporate governance and financial …","",NA,"Google Scholar",1,279,"selected",TRUE,3,NA,"Financial Performance and Corporate Governance in Microfinance: Evidence from Asia.","excluded"
"ref_280","pop00282","ARTICLE","F Al Hammadi; H Nobanee","2019","Sustainability and corporate governance: A mini-review","Available at SSRN 3500885","… of corporate governance and theories on (SRM) and the objective of this paper stems from the importance of perceiving good corporate governance by … of corporate governance and …","",NA,"Google Scholar",1,280,"selected",TRUE,3,NA,"Sustainability and Corporate Governance: a Mini-Review.","excluded"
"ref_281","pop00283","BOOK","LA Bebchuk; S Hirst","2019","Index funds and the future of corporate governance: Theory, evidence, and policy",NA,"We seek to contribute to understanding index fund stewardship by providing a comprehensive theoretical, empirical, and policy analysis of such stewardship. We put forward an agency-…","",NA,"Google Scholar",1,281,"selected",TRUE,2,NA,"Index Funds and the Future of Corporate Governance: Theory, Evidence, and Policy.","excluded"
"ref_282","pop00284","ARTICLE","J Kovermann; P Velte","2019","The impact of corporate governance on corporate tax avoidance—A literature review","Journal of International Accounting, Auditing and …","… Findings indicate that effective corporate governance mechanisms steer … corporate governance institutions and all stakeholders relevant to the firm. We show that corporate governance …","",NA,"Google Scholar",1,282,"selected",TRUE,3,NA,"The Impact of Corporate Governance on Corporate Tax Avoidance—a Literature Review.","excluded"
"ref_283","pop00285","ARTICLE","G Ruwanti; G Chandrarin; P Assih","2019","Corporate social responsibility and earnings management: The role of corporate governance","Humanities \&Social Sciences …","… examine the role of corporate governance in the relationship of … , and the impact of corporate governance on the relationship … The evidence also shows the role of corporate governance …","",NA,"Google Scholar",1,283,"selected",TRUE,2,NA,"Corporate Social Responsibility and Earnings Management: The Role of Corporate Governance.","selected"
"ref_284","pop00286","ARTICLE","S Bhaumik; N Driffield; A Gaur; T Mickiewicz; ...","2019","Corporate governance and MNE strategies in emerging economies","Journal of World …","We explore factors of convergence and divergence in corporate governance of emerging and developed market economies, focussing on the role of firm internationalisation. In particular…","",NA,"Google Scholar",1,284,"selected",TRUE,1,NA,"Corporate Governance and Mne Strategies in Emerging Economies.","excluded"
"ref_285","pop00287","ARTICLE","E Steckler; C Clark","2019","Authenticity and corporate governance","Journal of Business Ethics","Although personal attributes have gained recognition as an important area of effective corporate governance, scholarship has largely overlooked the value and implications of individual …","","10.1007/s10551-018-3903-5","Google Scholar",1,285,"selected",TRUE,2,NA,"Authenticity and Corporate Governance.","excluded"
"ref_286","pop00288","ARTICLE","V Lagasio; N Cucari","2019","Corporate governance and environmental social governance disclosure: A meta� analytical review","Corporate Social Responsibility and …","… corporate governance and update it to clarify the understanding of the relationship between corporate governance … the association between corporate governance and ESG disclosure, …","","10.1002/csr.1716","Google Scholar",1,286,"selected",TRUE,1,NA,"Corporate Governance and Environmental Social Governance Disclosure: a Meta� Analytical Review.","excluded"
"ref_287","pop00289","ARTICLE","Y Hakimah; I Pratama; H Fitri; M Ganatri; ...","2019","Impact of Intrinsic Corporate Governance on Financial Performance of Indonesian SMEs","… Journal of Innovation …","… corporate governance in the context of the profitability of small and medium-sized entities (SMEs) in Indonesia. Corporate governance … relationship between corporate governance and …","",NA,"Google Scholar",1,287,"selected",TRUE,1,NA,"Impact of Intrinsic Corporate Governance on Financial Performance of Indonesian Smes.","excluded"
"ref_288","pop00290","ARTICLE","AMAM Al-Sartawi; Z Sanad","2019","Institutional ownership and corporate governance: evidence from Bahrain","Afro-Asian Journal of Finance and …","… of corporate governance in the Kingdom of Bahrain. A multi-regression analysis model was used to investigate the relationship between corporate governance … of corporate governance. …","",NA,"Google Scholar",1,288,"selected",TRUE,2,NA,"Institutional Ownership and Corporate Governance: Evidence from Bahrain.","selected"
"ref_289","pop00291","ARTICLE","KD Kolev; DB Wangrow; VL Barker III; ...","2019","Board committees in corporate governance: a cross� disciplinary review and agenda for the future","Journal of …","The importance of board committees – specialized subgroups that exist to perform many of the board's most critical functions, such as setting executive compensation, identifying …","","10.1111/joms.12444","Google Scholar",1,289,"selected",TRUE,4,NA,"Board Committees in Corporate Governance: a Cross� Disciplinary Review and Agenda for the Future.","excluded"
"ref_290","pop00292","ARTICLE","F Gangi; A Meles; E D'Angelo; ...","2019","Sustainable development and corporate governance in the financial system: Are environmentally friendly banks less risky?","Corporate Social …","This paper responds to the need for a deeper empirical investigation of the impact of corporate social responsibility pillars on the financial performance of banks. To address this …","","10.1002/csr.1699","Google Scholar",1,290,"selected",TRUE,1,NA,"Sustainable Development and Corporate Governance in the Financial System: Are Environmentally Friendly Banks less Risky?","selected"
"ref_291","pop00293","ARTICLE","G Ruwanti; G Chandrarin; P Assih","2019","The Influence of Corporate Governance in The Relationship of Firm Size and Leverage on Earnings Management","International Journal of Innovative …","… to examine the role of corporate governance in relation to the … The role of corporate governance in relation to the size of the … the company has good corporate governance, the large …","",NA,"Google Scholar",1,291,"selected",TRUE,4,NA,"The Influence of Corporate Governance in the Relationship of Firm Size and Leverage on Earnings Management.","excluded"
"ref_292","pop00294","ARTICLE","M Khan","2019","Corporate governance, ESG, and stock returns around the world","Financial Analysts Journal","… In this study, I developed new corporate governance and ESG metrics informed by the academic literature and the concept of ESG materiality. The corporate governance framework is …","","10.1080/0015198X.2019.1654299","Google Scholar",1,292,"selected",TRUE,1,NA,"Corporate Governance, Esg, and Stock Returns Around the World.","selected"
"ref_293","pop00295","ARTICLE","M Fenwick; EPM Vermeulen","2019","Technology and corporate governance: Blockchain, crypto, and artificial intelligence","Tex. J. Bus. L.","… particularly those related to corporate governance? And, how … corporate governance discussion? This paper explores these questions and concludes that current corporate governance …","",NA,"Google Scholar",1,293,"selected",TRUE,4,NA,"Technology and Corporate Governance: Blockchain, Crypto, and Artificial Intelligence.","excluded"
"ref_294","pop00296","ARTICLE","DM Salvioni; F Gennari","2019","Stakeholder perspective of corporate governance and CSR committees","… Perspective of Corporate Governance …","CSR is becoming more and more important, and many companies have taken meaningful steps to improve their corporate governance according with a stakeholder perspective. An …","",NA,"Google Scholar",1,294,"selected",TRUE,4,NA,"Stakeholder Perspective of Corporate Governance and Csr Committees.","excluded"
"ref_295","pop00297","ARTICLE","C Vadasi; M Bekiaris; A Andrikopoulos","2019","Corporate governance and internal audit: an institutional theory perspective","Corporate Governance: The …","Purpose This paper aims to explore internal audit effectiveness through its contribution to corporate governance. Namely, the authors attempt to investigate the impact of internal audit …","","10.1108/CG-07-2019-0215","Google Scholar",1,295,"selected",TRUE,4,NA,"Corporate Governance and Internal Audit: An Institutional Theory Perspective.","excluded"
"ref_297","pop00299","ARTICLE","C Flammer; B Hong; D Minor","2019","Corporate governance and the rise of integrating corporate social responsibility criteria in executive compensation: Effectiveness and implications for firm outcomes","Strategic Management Journal","Research Summary This study examines the integration of corporate social responsibility (CSR) criteria in executive compensation, a relatively recent practice in corporate governance. …","","10.1002/smj.3018","Google Scholar",1,297,"selected",TRUE,2,NA,"Corporate Governance and the Rise of Integrating Corporate Social Responsibility Criteria in Executive Compensation: Effectiveness and Implications for Firm Outcomes.","excluded"
"ref_298","pop00300","ARTICLE","G Jacoby; M Liu; Y Wang; Z Wu; Y Zhang","2019","Corporate governance, external control, and environmental information transparency: Evidence from emerging markets","Journal of International …","… , firms with stronger corporate governance mechanisms tend to … Furthermore, internal corporate governance mechanisms, such … First, it adds to the corporate governance literature by …","",NA,"Google Scholar",1,298,"selected",TRUE,2,NA,"Corporate Governance, External Control, and Environmental Information Transparency: Evidence from Emerging Markets.","excluded"
"ref_299","pop00301","ARTICLE","FJ López-Arceiz; L Torres; ...","2019","Is online disclosure the key to corporate governance?","Online Information …","Purpose The economic literature shows contradictory results when the relationship between corporate governance and financial position is assessed. The purpose of this paper is to …","","10.1108/OIR-06-2018-0191","Google Scholar",1,299,"selected",TRUE,1,NA,"Is Online Disclosure the Key to Corporate Governance?","excluded"
"ref_300","pop00302","ARTICLE","N Jia; KG Huang; C Man Zhang","2019","Public governance, corporate governance, and firm innovation: An examination of state-owned enterprises","Academy of Management …","… corporate governance literature the theoretical view that aside from the corporate governance … Moreover, we find that good corporate governance generates a more notable effect on firm …","","10.5465/amj.2016.0543","Google Scholar",1,300,"selected",TRUE,1,NA,"Public Governance, Corporate Governance, and Firm Innovation: An Examination of State-Owned Enterprises.","excluded"
"ref_302","pop00304","ARTICLE","C Mertzanis; MAK Basuony; EKA Mohamed","2019","Social institutions, corporate governance and firm-performance in the MENA region","Research in International …","The purpose of this paper is to examine the impact of social institutions, firm-specific corporate governance and ownership characteristics on firm performance in the MENA countries. …","",NA,"Google Scholar",1,302,"selected",TRUE,2,NA,"Social Institutions, Corporate Governance and Firm-Performance in the Mena Region.","excluded"
"ref_303","pop00305","ARTICLE","ML Tseng; PA Tan; SY Jeng; CWR Lin; YT Negash; ...","2019","Sustainable investment: Interrelated among corporate governance, economic performance and market risks using investor preference approach","Sustainability","Prior studies are lacking on the drivers of sustainable investment. Hence, this study examines the relationship between the social aspects, environmental aspects, economic benefits, …","",NA,"Google Scholar",1,303,"selected",TRUE,1,NA,"Sustainable Investment: Interrelated among Corporate Governance, Economic Performance and Market Risks using Investor Preference Approach.","excluded"
"ref_304","pop00306","ARTICLE","A Almoneef; DP Samontaray","2019","Corporate governance and firm performance in the Saudi banking industry","Banks and Bank Systems","… corporate governance on the Saudi banking performance for the period of 2014–2017. Though many researchers tested the relationship of corporate governance … corporate governance …","",NA,"Google Scholar",1,304,"selected",TRUE,1,NA,"Corporate Governance and Firm Performance in the Saudi Banking Industry.","excluded"
"ref_305","pop00307","ARTICLE","IH Salem; SD Ayadi; K Hussainey","2019","Corporate governance and risk disclosure quality: Tunisian evidence","Journal of Accounting in …","… potential influence of corporate governance mechanisms on … in order to reinforce this corporate governance structure and to … and the impact of the corporate governance structure on risk …","","10.1108/JAEE-01-2019-0005","Google Scholar",1,305,"selected",TRUE,2,NA,"Corporate Governance and Risk Disclosure Quality: Tunisian Evidence.","selected"
"ref_306","pop00308","ARTICLE","M Yameen; NH Farhan; ...","2019","The impact of corporate governance practices on firm's performance: An empirical evidence from Indian tourism sector","Journal of International …","… countries who demanded robust corporate governance practices from Indian … corporate governance. Therefore, this paper aims to investigate the effect of corporate governance …","",NA,"Google Scholar",1,306,"selected",TRUE,2,NA,"The Impact of Corporate Governance Practices on Firm's Performance: An Empirical Evidence from Indian Tourism Sector.","excluded"
"ref_307","pop00309","ARTICLE","M Nasih; I Harymawan; YI Paramitasari; A Handayani","2019","Carbon emissions, firm size, and corporate governance structure: Evidence from the mining and agricultural industries in Indonesia","Sustainability","The purpose of this research was to examine the relationship between firm size, corporate governance, and carbon emission disclosure (CED) in Indonesia, a country with rich natural …","",NA,"Google Scholar",1,307,"selected",TRUE,2,NA,"Carbon Emissions, Firm Size, and Corporate Governance Structure: Evidence from the Mining and Agricultural Industries in Indonesia.","selected"
"ref_308","pop00310","ARTICLE","A Buallay","2019","Corporate governance, Sharia'ah governance and performance: A cross-country comparison in MENA region","International Journal of Islamic and Middle Eastern …","… However, corporate governance significantly influenced TQ. Furthermore, the results indicated that there were differences between Sharia’ah governance and corporate governance …","","10.1108/IMEFM-07-2017-0172","Google Scholar",1,308,"selected",TRUE,1,NA,"Corporate Governance, Sharia'ah Governance and Performance: a Cross-Country Comparison in Mena Region.","excluded"
"ref_309","pop00311","ARTICLE","H Singh; G Jain; A Munjal; S Rakesh","2019","Blockchain technology in corporate governance: disrupting chain reaction or not?","Corporate Governance: The …","… Though developed countries have taken several measures to reform corporate governance … problem in the corporate governance is lying pending. The corporate governance system not …","","10.1108/CG-07-2018-0261","Google Scholar",1,309,"selected",TRUE,2,NA,"Blockchain Technology in Corporate Governance: Disrupting Chain Reaction or Not?","excluded"
"ref_310","pop00312","ARTICLE","P Chatchawanchanchanakij; ...","2019","The role of corporate governance in creating a capable supply chain: A case of Indonesian Tin industry","… Journal of Supply …","… to examine the role of corporate governance in determine the … relational capability and corporate governance on the supply … moderating role of corporate governance in the relationship …","",NA,"Google Scholar",1,310,"selected",TRUE,2,NA,"The Role of Corporate Governance in Creating a Capable Supply Chain: a Case of Indonesian Tin Industry.","excluded"
"ref_311","pop00313","ARTICLE","C Zheng; R Kouwenberg","2019","A bibliometric review of global research on corporate governance and board attributes","Sustainability","… on the role of boards of directors in corporate governance (BDCG). We consider practices associated with corporate governance essential to the concept of sustainability since they …","",NA,"Google Scholar",1,311,"selected",TRUE,2,NA,"a Bibliometric Review of Global Research on Corporate Governance and Board Attributes.","excluded"
"ref_312","pop00314","ARTICLE","MAA Zaid; M Wang; STF Abuhijleh","2019","The effect of corporate governance practices on corporate social responsibility disclosure: Evidence from Palestine","Journal of Global Responsibility","Purpose The purpose of this study is to empirically examine the deeply rooted relationships between corporate governance (CG) and corporate social responsibility (CSR) disclosure as …","","10.1108/JGR-10-2018-0053","Google Scholar",1,312,"selected",TRUE,2,NA,"The Effect of Corporate Governance Practices on Corporate Social Responsibility Disclosure: Evidence from Palestine.","selected"
"ref_313","pop00315","ARTICLE","N Orazalin","2019","Corporate governance and corporate social responsibility (CSR) disclosure in an emerging economy: evidence from commercial banks of Kazakhstan","Corporate Governance: The International Journal of …","Purpose This paper aims to explore the extent and nature of corporate social responsibility (CSR) reporting practices in the banking sector of Kazakhstan and investigates the effects of …","","10.1108/CG-09-2018-0290","Google Scholar",1,313,"selected",TRUE,2,NA,"Corporate Governance and Corporate Social Responsibility (Csr) Disclosure in an Emerging Economy: Evidence from Commercial Banks of Kazakhstan.","selected"
"ref_314","pop00316","ARTICLE","M Fenwick; WA Kaal; EPM Vermeulen","2019","The"" Unmediated"" and"" Tech-Driven"" Corporate Governance of Today's Winning Companies","NYUJL \&Bus.","… This Article evaluates unmediated and technology-driven corporate governance practices and processes that will best equip a company to become one of tomorrow's winners. We …","",NA,"Google Scholar",1,314,"selected",TRUE,3,NA,"The"" Unmediated"" and"" Tech-Driven"" Corporate Governance of Today's Winning Companies.","excluded"
"ref_315","pop00317","ARTICLE","M Barzuza; Q Curtis; DH Webber","2019","Shareholder value (s): Index fund ESG activism and the new millennial corporate governance","S. Cal. L. Rev.","… What we are witnessing is an emergence of a new framework for corporate governance that has … In Part V, we discuss the implications of this new approach to corporate governance. …","",NA,"Google Scholar",1,315,"selected",TRUE,3,NA,"Shareholder Value (s): Index Fund Esg Activism and the New Millennial Corporate Governance.","excluded"
"ref_316","pop00318","ARTICLE","MS Ullah; MB Muttakin; A Khan","2019","Corporate governance and corporate social responsibility disclosures in insurance companies","International Journal of Accounting \& …","Purpose The purpose of this study is to empirically examine the association between corporate governance and the extent of corporate social responsibility (CSR) disclosures in …","","10.1108/IJAIM-10-2017-0120","Google Scholar",1,316,"selected",TRUE,3,NA,"Corporate Governance and Corporate Social Responsibility Disclosures in Insurance Companies.","excluded"
"ref_317","pop00319","ARTICLE","TQ Dinh; A Calabro","2019","Asian family firms through corporate governance and institutions: A systematic review of the literature and agenda for future research","International Journal of Management …","… corporate governance model of Asian family firms has recently gained increased attention, it remains unclear how these firms’ corporate governance … equivalent corporate governance …","","10.1111/ijmr.12176","Google Scholar",1,317,"selected",TRUE,4,NA,"Asian Family Firms Through Corporate Governance and Institutions: a Systematic Review of the Literature and Agenda for Future Research.","excluded"
"ref_318","pop00320","ARTICLE","N Cucari","2019","Qualitative comparative analysis in corporate governance research: a systematic literature review of applications","Corporate Governance: The International Journal of …","Purpose The purpose of this paper is to provide comprehensive mapping of qualitative comparative analysis (QCA) applications in business and management research and to examine …","","10.1108/CG-04-2018-0161","Google Scholar",1,318,"selected",TRUE,4,NA,"Qualitative Comparative Analysis in Corporate Governance Research: a Systematic Literature Review of Applications.","excluded"
"ref_319","pop00321","ARTICLE","M Safiullah; A Shamsuddin","2019","Risk-adjusted efficiency and corporate governance: Evidence from Islamic and conventional banks","Journal of Corporate Finance","… may jointly increase both efficiency and corporate governance. To alleviate the concern … and corporate governance by using an instrumental variable (IV) for each corporate governance …","",NA,"Google Scholar",1,319,"selected",TRUE,2,NA,"Risk-Adjusted Efficiency and Corporate Governance: Evidence from Islamic and Conventional Banks.","excluded"
"ref_320","pop00322","ARTICLE","A Habib; MM Hasan","2019","Corporate life cycle research in accounting, finance and corporate governance: A survey, and directions for future research","International Review of Financial Analysis","Corporate life cycle has received considerable interest in the accounting, finance and corporate governance literature. We synthesize this literature to inform readers about the valuable …","",NA,"Google Scholar",1,320,"selected",TRUE,4,NA,"Corporate Life Cycle Research in Accounting, Finance and Corporate Governance: a Survey, and Directions for Future Research.","excluded"
"ref_321","pop00323","ARTICLE","Y Nuryana; DA Surjandari","2019","The effect of good corporate governance mechanism, and earning management on company financial performance","Global Journal of …","The purpose of this study was to examine the effect of GCG mechanisms, and earnings management on financial performance. From the good corporate governance variables, …","",NA,"Google Scholar",1,321,"selected",TRUE,3,NA,"The Effect of Good Corporate Governance Mechanism, and Earning Management on Company Financial Performance.","excluded"
"ref_322","pop00324","ARTICLE","RM Visconti","2019","Combining network theory with corporate governance: Converging models for connected stakeholders","Corporate Ownership \&Control","Traditional corporate governance patterns are based on the interaction among composite stakeholders and the various forms of separation between ownership and control. …","",NA,"Google Scholar",1,322,"selected",TRUE,4,NA,"Combining Network Theory with Corporate Governance: Converging Models for Connected Stakeholders.","excluded"
"ref_323","pop00325","ARTICLE","I Filatotchev; A Poulsen; RG Bell","2019","Corporate governance of a multinational enterprise: Firm, industry and institutional perspectives","Journal of Corporate Finance","… Journal of Corporate Finance on corporate governance of a … studies associated with corporate governance problems and the … research on international corporate governance and global …","",NA,"Google Scholar",1,323,"selected",TRUE,2,NA,"Corporate Governance of a Multinational Enterprise: Firm, Industry and Institutional Perspectives.","excluded"
"ref_324","pop00326","ARTICLE","T Arniati; DA Puspita; A Amin; ...","2019","The implementation of good corporate governance model and auditor independence in earnings' quality improvement","Entrepreneurship and …","The general objective of this research is to explore the model of earnings quality monitoring and to examine the effect of auditor independence on the relationship between corporate …","",NA,"Google Scholar",1,324,"selected",TRUE,4,NA,"The Implementation of Good Corporate Governance Model and Auditor Independence in Earnings' Quality Improvement.","excluded"
"ref_325","pop00327","ARTICLE","C Adel; MM Hussain; EKA Mohamed; ...","2019","Is corporate governance relevant to the quality of corporate social responsibility disclosure in large European companies?","International Journal of …","Purpose This paper aims to report on the quality of corporate social responsibility (CSR) disclosure in S\&P Europe 350 companies. The paper also examines the impact of corporate …","","10.1108/IJAIM-10-2017-0118","Google Scholar",1,325,"selected",TRUE,4,NA,"Is Corporate Governance Relevant to the Quality of Corporate Social Responsibility Disclosure in Large European Companies?","selected"
"ref_326","pop00328","ARTICLE","M Mukhtaruddin; U Ubaidillah; K Dewi; A Hakiki; ...","2019","Good corporate governance, corporate social responsibility, firm value, and financial performance as moderating variable","Indonesian Journal of …","… Abstract: Good corporate governance and corporate social … the effect of good corporate governance and corporate social … indicate that good corporate governance has an insignificant …","",NA,"Google Scholar",1,326,"selected",TRUE,2,NA,"Good Corporate Governance, Corporate Social Responsibility, Firm Value, and Financial Performance as Moderating Variable.","excluded"
"ref_327","pop00329","ARTICLE","AA Sarhan; CG Ntim; B Al� Najjar","2019","Board diversity, corporate governance, corporate performance, and executive pay","International Journal of …","Departing from previous studies, this paper investigates the impact of corporate board diversity on corporate performance and executive pay within the context of Middle East and North …","","10.1002/ijfe.1690","Google Scholar",1,327,"selected",TRUE,2,NA,"Board Diversity, Corporate Governance, Corporate Performance, and Executive Pay.","excluded"
"ref_328","pop00330","ARTICLE","S Vijayakumaran; R Vijayakumaran","2019","Corporate governance and capital structure decisions: Evidence from Chinese listed companies","… ). Corporate governance and …","This study examines the impact of corporate governance on capital structure decisions based on a large panel of Chinese listed firms. Using the system Generalized Method of …","",NA,"Google Scholar",1,328,"selected",TRUE,1,NA,"Corporate Governance and Capital Structure Decisions: Evidence from Chinese Listed Companies.","excluded"
"ref_329","pop00331","ARTICLE","R Aggarwal; JD Schloetzer; R Williamson","2019","Do corporate governance mandates impact long-term firm value and governance culture?","Journal of Corporate Finance","Motivated by recent changes to corporate governance standards around the world, we use a regulatory shock that substantially altered the governance structure for some firms to shed …","",NA,"Google Scholar",1,329,"selected",TRUE,1,NA,"Do Corporate Governance Mandates Impact Long-Term Firm Value and Governance Culture?","excluded"
"ref_330","pop00332","ARTICLE","A Alkurdi; K Hussainey; Y Tahat; ...","2019","The impact of corporate governance on risk disclosure: Jordanian evidence","Academy of Accounting …","This study explores the impact of Corporate Governance (CG) attributes on risk disclosure for a sample of Jordanian listed firms. The study employs two types of disclosure (voluntary …","",NA,"Google Scholar",1,330,"selected",TRUE,2,NA,"The Impact of Corporate Governance on Risk Disclosure: Jordanian Evidence.","selected"
"ref_331","pop00333","ARTICLE","A Brown","2019","Understanding corporate governance of healthcare quality: a comparative case study of eight Australian public hospitals","BMC health services research","… corporate governance level. This provides a more detailed picture than previously described of how corporate governance of … processes for effective corporate governance of healthcare …","","10.1186/s12913-019-4593-0","Google Scholar",1,331,"selected",TRUE,1,NA,"Understanding Corporate Governance of Healthcare Quality: a Comparative Case Study of Eight Australian Public Hospitals.","excluded"
"ref_332","pop00334","ARTICLE","Y Wang; K Abbasi; B Babajide; ...","2019","Corporate governance mechanisms and firm performance: evidence from the emerging market following the revised CG code","Corporate Governance …","Purpose This study aims to examine the extent to which board characteristics and ownership structure affect firm performance with specific focus on providing new empirical insights …","","10.1108/CG-07-2018-0244","Google Scholar",1,332,"selected",TRUE,1,NA,"Corporate Governance Mechanisms and Firm Performance: Evidence from the Emerging Market Following the Revised Cg Code.","excluded"
"ref_333","pop00335","ARTICLE","K Levillain; B Segrestin","2019","From primacy to purpose commitment: How emerging profit-with-purpose corporations open new corporate governance avenues","European Management Journal","This paper aims at contributing to corporate governance theory by developing a model of governance that takes into account a recent legal innovation: the introduction of purpose-…","",NA,"Google Scholar",1,333,"selected",TRUE,1,NA,"From Primacy to Purpose Commitment: How Emerging Profit-with-Purpose Corporations Open New Corporate Governance Avenues.","excluded"
"ref_334","pop00336","ARTICLE","CRG Popescu","2019","Corporate social responsibility, corporate governance and business performance: Limits and challenges imposed by the implementation of directive 2013/34/EU in …","Sustainability","In order to identify the factors that have influenced the Romanian companies’ level of compliance required by the Directive 2013/34/EU with respect to publishing, alongside the annual …","",NA,"Google Scholar",1,334,"selected",TRUE,1,NA,"Corporate Social Responsibility, Corporate Governance and Business Performance: Limits and Challenges Imposed by the Implementation of Directive 2013/34/Eu in �","excluded"
"ref_335","pop00337","ARTICLE","�  Matuszak; E Różańska; M Macuda","2019","The impact of corporate governance characteristics on banks' corporate social responsibility disclosure: Evidence from Poland","Journal of Accounting in …","Purpose The purpose of this paper is to investigate the extent and trend of corporate social responsibility (CSR) reporting in commercial banks in Poland and examine the link between …","","10.1108/JAEE-04-2017-0040","Google Scholar",1,335,"selected",TRUE,1,NA,"The Impact of Corporate Governance Characteristics on Banks' Corporate Social Responsibility Disclosure: Evidence from Poland.","selected"
